GlobalId,ChangeType,OldReference,NewReference
"#5236=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlod',#18,'GridCube:Small Unit:1660226',$,'GridCube:Small Unit',#5235,#5232,'1660226',$)",Added,,
"#34683=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiYG',#18,'GridCube:Small Unit:1663349',$,'GridCube:Small Unit',#34682,#34679,'1663349',$)",Added,,
"#33704=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiZq',#18,'GridCube:Small Unit:1663249',$,'GridCube:Small Unit',#33703,#33700,'1663249',$)",Added,,
"#64042=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiH_',#18,'GridCube:Small Unit:1666459',$,'GridCube:Small Unit',#64041,#64038,'1666459',$)",Added,,
"#61072=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiMn',#18,'GridCube:Small Unit:1666132',$,'GridCube:Small Unit',#61071,#61068,'1666132',$)",Added,,
"#59312=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi9$',#18,'GridCube:Small Unit:1665946',$,'GridCube:Small Unit',#59311,#59308,'1665946',$)",Added,,
"#924=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlgV',#18,'GridCube:Small Unit:1659770',$,'GridCube:Small Unit',#923,#920,'1659770',$)",Added,,
"#24420=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlJP',#18,'GridCube:Small Unit:1662268',$,'GridCube:Small Unit',#24419,#24416,'1662268',$)",Added,,
"#41338=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HitD',#18,'GridCube:Small Unit:1664040',$,'GridCube:Small Unit',#41337,#41334,'1664040',$)",Added,,
"#68112=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiQg',#18,'GridCube:Small Unit:1666895',$,'GridCube:Small Unit',#68111,#68108,'1666895',$)",Added,,
"#9009=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlyg',#18,'GridCube:Small Unit:1660623',$,'GridCube:Small Unit',#9008,#9005,'1660623',$)",Added,,
"#67034=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiSx',#18,'GridCube:Small Unit:1666782',$,'GridCube:Small Unit',#67033,#67030,'1666782',$)",Added,,
"#71709=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hjak',#18,'GridCube:Small Unit:1667275',$,'GridCube:Small Unit',#71708,#71705,'1667275',$)",Added,,
"#36586=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HilP',#18,'GridCube:Small Unit:1663548',$,'GridCube:Small Unit',#36585,#36582,'1663548',$)",Added,,
"#54054=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi2v',#18,'GridCube:Small Unit:1665372',$,'GridCube:Small Unit',#54053,#54050,'1665372',$)",Added,,
"#61468=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiMR',#18,'GridCube:Small Unit:1666174',$,'GridCube:Small Unit',#61467,#61464,'1666174',$)",Added,,
"#67210=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiSL',#18,'GridCube:Small Unit:1666800',$,'GridCube:Small Unit',#67209,#67206,'1666800',$)",Added,,
"#24728=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlI$',#18,'GridCube:Small Unit:1662298',$,'GridCube:Small Unit',#24727,#24724,'1662298',$)",Added,,
"#62986=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiJu',#18,'GridCube:Small Unit:1666333',$,'GridCube:Small Unit',#62985,#62982,'1666333',$)",Added,,
"#9647=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlxg',#18,'GridCube:Small Unit:1660687',$,'GridCube:Small Unit',#9646,#9643,'1660687',$)",Added,,
"#30404=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlPS',#18,'GridCube:Small Unit:1662905',$,'GridCube:Small Unit',#30403,#30400,'1662905',$)",Added,,
"#12463=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl6X',#18,'GridCube:Small Unit:1660996',$,'GridCube:Small Unit',#12462,#12459,'1660996',$)",Added,,
"#4961=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlpD',#18,'GridCube:Small Unit:1660200',$,'GridCube:Small Unit',#4960,#4957,'1660200',$)",Added,,
"#51953=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi6G',#18,'GridCube:Small Unit:1665141',$,'GridCube:Small Unit',#51952,#51949,'1665141',$)",Added,,
"#58388=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiBQ',#18,'GridCube:Small Unit:1665855',$,'GridCube:Small Unit',#58387,#58384,'1665855',$)",Added,,
"#35266=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiXB',#18,'GridCube:Small Unit:1663406',$,'GridCube:Small Unit',#35265,#35262,'1663406',$)",Added,,
"#41063=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hitf',#18,'GridCube:Small Unit:1664012',$,'GridCube:Small Unit',#41062,#41059,'1664012',$)",Added,,
"#23287=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlKW',#18,'GridCube:Small Unit:1662149',$,'GridCube:Small Unit',#23286,#23283,'1662149',$)",Added,,
"#42581=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HirC',#18,'GridCube:Small Unit:1664169',$,'GridCube:Small Unit',#42580,#42577,'1664169',$)",Added,,
"#63877=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiHl',#18,'GridCube:Small Unit:1666442',$,'GridCube:Small Unit',#63876,#63873,'1666442',$)",Added,,
"#18447=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlCt',#18,'GridCube:Small Unit:1661650',$,'GridCube:Small Unit',#18446,#18443,'1661650',$)",Added,,
"#5379=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hloq',#18,'GridCube:Small Unit:1660241',$,'GridCube:Small Unit',#5378,#5375,'1660241',$)",Added,,
"#50369=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hiur',#18,'GridCube:Small Unit:1664976',$,'GridCube:Small Unit',#50368,#50365,'1664976',$)",Added,,
"#22220=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlMy',#18,'GridCube:Small Unit:1662041',$,'GridCube:Small Unit',#22219,#22216,'1662041',$)",Added,,
"#4807=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlp$',#18,'GridCube:Small Unit:1660186',$,'GridCube:Small Unit',#4806,#4803,'1660186',$)",Added,,
"#69608=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiOK',#18,'GridCube:Small Unit:1667057',$,'GridCube:Small Unit',#69607,#69604,'1667057',$)",Added,,
"#67892=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiRI',#18,'GridCube:Small Unit:1666871',$,'GridCube:Small Unit',#67891,#67888,'1666871',$)",Added,,
"#65373=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiV8',#18,'GridCube:Small Unit:1666605',$,'GridCube:Small Unit',#65372,#65369,'1666605',$)",Added,,
"#35112=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiXw',#18,'GridCube:Small Unit:1663391',$,'GridCube:Small Unit',#35111,#35108,'1663391',$)",Added,,
"#21725=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlN0',#18,'GridCube:Small Unit:1661989',$,'GridCube:Small Unit',#21724,#21721,'1661989',$)",Added,,
"#8250=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlza',#18,'GridCube:Small Unit:1660545',$,'GridCube:Small Unit',#8249,#8246,'1660545',$)",Added,,
"#20284=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl9t',#18,'GridCube:Small Unit:1661842',$,'GridCube:Small Unit',#20283,#20280,'1661842',$)",Added,,
"#16874=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlF6',#18,'GridCube:Small Unit:1661475',$,'GridCube:Small Unit',#16873,#16870,'1661475',$)",Added,,
"#2123=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HleJ',#18,'GridCube:Small Unit:1659894',$,'GridCube:Small Unit',#2122,#2119,'1659894',$)",Added,,
"#3861=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlr9',#18,'GridCube:Small Unit:1660076',$,'GridCube:Small Unit',#3860,#3857,'1660076',$)",Added,,
"#29722=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlQE',#18,'GridCube:Small Unit:1662827',$,'GridCube:Small Unit',#29721,#29718,'1662827',$)",Added,,
"#8635=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlz3',#18,'GridCube:Small Unit:1660582',$,'GridCube:Small Unit',#8634,#8631,'1660582',$)",Added,,
"#52514=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi5A',#18,'GridCube:Small Unit:1665199',$,'GridCube:Small Unit',#52513,#52510,'1665199',$)",Added,,
"#28578=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlSH',#18,'GridCube:Small Unit:1662708',$,'GridCube:Small Unit',#28577,#28574,'1662708',$)",Added,,
"#6963=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlmS',#18,'GridCube:Small Unit:1660409',$,'GridCube:Small Unit',#6962,#6959,'1660409',$)",Added,,
"#30294=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlPB',#18,'GridCube:Small Unit:1662894',$,'GridCube:Small Unit',#30293,#30290,'1662894',$)",Added,,
"#28204=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlSk',#18,'GridCube:Small Unit:1662667',$,'GridCube:Small Unit',#28203,#28200,'1662667',$)",Added,,
"#53735=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi3T',#18,'GridCube:Small Unit:1665336',$,'GridCube:Small Unit',#53734,#53731,'1665336',$)",Added,,
"#65362=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiV9',#18,'GridCube:Small Unit:1666604',$,'GridCube:Small Unit',#65361,#65358,'1666604',$)",Added,,
"#18150=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlDN',#18,'GridCube:Small Unit:1661618',$,'GridCube:Small Unit',#18149,#18146,'1661618',$)",Added,,
"#51469=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi6b',#18,'GridCube:Small Unit:1665088',$,'GridCube:Small Unit',#51468,#51465,'1665088',$)",Added,,
"#36476=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HilL',#18,'GridCube:Small Unit:1663536',$,'GridCube:Small Unit',#36475,#36472,'1663536',$)",Added,,
"#71676=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hjaj',#18,'GridCube:Small Unit:1667272',$,'GridCube:Small Unit',#71675,#71672,'1667272',$)",Added,,
"#1628=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HleX',#18,'GridCube:Small Unit:1659844',$,'GridCube:Small Unit',#1627,#1624,'1659844',$)",Added,,
"#56914=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiDp',#18,'GridCube:Small Unit:1665686',$,'GridCube:Small Unit',#56913,#56910,'1665686',$)",Added,,
"#27599=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlTg',#18,'GridCube:Small Unit:1662607',$,'GridCube:Small Unit',#27598,#27595,'1662607',$)",Added,,
"#53867=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi2j',#18,'GridCube:Small Unit:1665352',$,'GridCube:Small Unit',#53866,#53863,'1665352',$)",Added,,
"#66858=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiSe',#18,'GridCube:Small Unit:1666765',$,'GridCube:Small Unit',#66857,#66854,'1666765',$)",Added,,
"#6017=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlnp',#18,'GridCube:Small Unit:1660310',$,'GridCube:Small Unit',#6016,#6013,'1660310',$)",Added,,
"#22011=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlMc',#18,'GridCube:Small Unit:1662019',$,'GridCube:Small Unit',#22010,#22007,'1662019',$)",Added,,
"#48686=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hix4',#18,'GridCube:Small Unit:1664801',$,'GridCube:Small Unit',#48685,#48682,'1664801',$)",Added,,
"#27247=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlUD',#18,'GridCube:Small Unit:1662568',$,'GridCube:Small Unit',#27246,#27243,'1662568',$)",Added,,
"#44374=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hio$',#18,'GridCube:Small Unit:1664346',$,'GridCube:Small Unit',#44373,#44370,'1664346',$)",Added,,
"#12034=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl7p',#18,'GridCube:Small Unit:1660950',$,'GridCube:Small Unit',#12033,#12030,'1660950',$)",Added,,
"#41635=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HisW',#18,'GridCube:Small Unit:1664069',$,'GridCube:Small Unit',#41634,#41631,'1664069',$)",Added,,
"#517=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlgr',#18,'GridCube:Small Unit:1659728',$,'GridCube:Small Unit',#516,#513,'1659728',$)",Added,,
"#20889=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl8g',#18,'GridCube:Small Unit:1661903',$,'GridCube:Small Unit',#20888,#20885,'1661903',$)",Added,,
"#67826=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiRK',#18,'GridCube:Small Unit:1666865',$,'GridCube:Small Unit',#67825,#67822,'1666865',$)",Added,,
"#49775=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hivs',#18,'GridCube:Small Unit:1664915',$,'GridCube:Small Unit',#49774,#49771,'1664915',$)",Added,,
"#60929=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiMX',#18,'GridCube:Small Unit:1666116',$,'GridCube:Small Unit',#60928,#60925,'1666116',$)",Added,,
"#56276=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiEp',#18,'GridCube:Small Unit:1665622',$,'GridCube:Small Unit',#56275,#56272,'1665622',$)",Added,,
"#62370=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiKx',#18,'GridCube:Small Unit:1666270',$,'GridCube:Small Unit',#62369,#62366,'1666270',$)",Added,,
"#7854=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl_o',#18,'GridCube:Small Unit:1660503',$,'GridCube:Small Unit',#7853,#7850,'1660503',$)",Added,,
"#57431=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiCt',#18,'GridCube:Small Unit:1665746',$,'GridCube:Small Unit',#57430,#57427,'1665746',$)",Added,,
"#38698=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hih_',#18,'GridCube:Small Unit:1663771',$,'GridCube:Small Unit',#38697,#38694,'1663771',$)",Added,,
"#65769=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiUn',#18,'GridCube:Small Unit:1666644',$,'GridCube:Small Unit',#65768,#65765,'1666644',$)",Added,,
"#30063=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlPt',#18,'GridCube:Small Unit:1662866',$,'GridCube:Small Unit',#30062,#30059,'1662866',$)",Added,,
"#19668=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlAs',#18,'GridCube:Small Unit:1661779',$,'GridCube:Small Unit',#19667,#19664,'1661779',$)",Added,,
"#68673=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiPe',#18,'GridCube:Small Unit:1666957',$,'GridCube:Small Unit',#68672,#68669,'1666957',$)",Added,,
"#35981=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiWO',#18,'GridCube:Small Unit:1663485',$,'GridCube:Small Unit',#35980,#35977,'1663485',$)",Added,,
"#69036=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiPH',#18,'GridCube:Small Unit:1666996',$,'GridCube:Small Unit',#69035,#69032,'1666996',$)",Added,,
"#69201=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiOW',#18,'GridCube:Small Unit:1667013',$,'GridCube:Small Unit',#69200,#69197,'1667013',$)",Added,,
"#4147=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlqj',#18,'GridCube:Small Unit:1660104',$,'GridCube:Small Unit',#4146,#4143,'1660104',$)",Added,,
"#21945=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlNO',#18,'GridCube:Small Unit:1662013',$,'GridCube:Small Unit',#21944,#21941,'1662013',$)",Added,,
"#15147=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl20',#18,'GridCube:Small Unit:1661285',$,'GridCube:Small Unit',#15146,#15143,'1661285',$)",Added,,
"#52074=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi5a',#18,'GridCube:Small Unit:1665153',$,'GridCube:Small Unit',#52073,#52070,'1665153',$)",Added,,
"#38621=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hihn',#18,'GridCube:Small Unit:1663764',$,'GridCube:Small Unit',#38620,#38617,'1663764',$)",Added,,
"#71115=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hjbh',#18,'GridCube:Small Unit:1667214',$,'GridCube:Small Unit',#71114,#71111,'1667214',$)",Added,,
"#41250=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hit5',#18,'GridCube:Small Unit:1664032',$,'GridCube:Small Unit',#41249,#41246,'1664032',$)",Added,,
"#20636=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl9I',#18,'GridCube:Small Unit:1661879',$,'GridCube:Small Unit',#20635,#20632,'1661879',$)",Added,,
"#55968=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiFK',#18,'GridCube:Small Unit:1665585',$,'GridCube:Small Unit',#55967,#55964,'1665585',$)",Added,,
"#28611=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlSS',#18,'GridCube:Small Unit:1662713',$,'GridCube:Small Unit',#28610,#28607,'1662713',$)",Added,,
"#52129=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi5Y',#18,'GridCube:Small Unit:1665159',$,'GridCube:Small Unit',#52128,#52125,'1665159',$)",Added,,
"#62227=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiKg',#18,'GridCube:Small Unit:1666255',$,'GridCube:Small Unit',#62226,#62223,'1666255',$)",Added,,
"#63800=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiHb',#18,'GridCube:Small Unit:1666432',$,'GridCube:Small Unit',#63799,#63796,'1666432',$)",Added,,
"#51128=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi7x',#18,'GridCube:Small Unit:1665054',$,'GridCube:Small Unit',#51127,#51124,'1665054',$)",Added,,
"#2024=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hle8',#18,'GridCube:Small Unit:1659885',$,'GridCube:Small Unit',#2023,#2020,'1659885',$)",Added,,
"#704=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlg0',#18,'GridCube:Small Unit:1659749',$,'GridCube:Small Unit',#703,#700,'1659749',$)",Added,,
"#15103=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl25',#18,'GridCube:Small Unit:1661280',$,'GridCube:Small Unit',#15102,#15099,'1661280',$)",Added,,
"#50457=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hiuz',#18,'GridCube:Small Unit:1664984',$,'GridCube:Small Unit',#50456,#50453,'1664984',$)",Added,,
"#60357=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiNZ',#18,'GridCube:Small Unit:1666054',$,'GridCube:Small Unit',#60356,#60353,'1666054',$)",Added,,
"#67419=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiRY',#18,'GridCube:Small Unit:1666823',$,'GridCube:Small Unit',#67418,#67415,'1666823',$)",Added,,
"#16269=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl0w',#18,'GridCube:Small Unit:1661407',$,'GridCube:Small Unit',#16268,#16265,'1661407',$)",Added,,
"#46497=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi$S',#18,'GridCube:Small Unit:1664569',$,'GridCube:Small Unit',#46496,#46493,'1664569',$)",Added,,
"#2662=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HltA',#18,'GridCube:Small Unit:1659951',$,'GridCube:Small Unit',#2661,#2658,'1659951',$)",Added,,
"#57585=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiC7',#18,'GridCube:Small Unit:1665762',$,'GridCube:Small Unit',#57584,#57581,'1665762',$)",Added,,
"#53548=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi30',#18,'GridCube:Small Unit:1665317',$,'GridCube:Small Unit',#53547,#53544,'1665317',$)",Added,,
"#66330=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiTr',#18,'GridCube:Small Unit:1666704',$,'GridCube:Small Unit',#66329,#66326,'1666704',$)",Added,,
"#64614=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiGx',#18,'GridCube:Small Unit:1666526',$,'GridCube:Small Unit',#64613,#64610,'1666526',$)",Added,,
"#69795=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HjdY',#18,'GridCube:Small Unit:1667079',$,'GridCube:Small Unit',#69794,#69791,'1667079',$)",Added,,
"#13145=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hl5h',#18,'GridCube:Small Unit:1661070',$,'GridCube:Small Unit',#13144,#13141,'1661070',$)",Added,,
"#58091=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiB_',#18,'GridCube:Small Unit:1665819',$,'GridCube:Small Unit',#58090,#58087,'1665819',$)",Added,,
"#63118=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiJ8',#18,'GridCube:Small Unit:1666349',$,'GridCube:Small Unit',#63117,#63114,'1666349',$)",Added,,
"#43329=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiqJ',#18,'GridCube:Small Unit:1664246',$,'GridCube:Small Unit',#43328,#43325,'1664246',$)",Added,,
"#8558=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hlzw',#18,'GridCube:Small Unit:1660575',$,'GridCube:Small Unit',#8557,#8554,'1660575',$)",Added,,
"#52833=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi4n',#18,'GridCube:Small Unit:1665236',$,'GridCube:Small Unit',#52832,#52829,'1665236',$)",Added,,
"#72072=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HjaA',#18,'GridCube:Small Unit:1667311',$,'GridCube:Small Unit',#72071,#72068,'1667311',$)",Added,,
"#63019=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiJ5',#18,'GridCube:Small Unit:1666336',$,'GridCube:Small Unit',#63018,#63015,'1666336',$)",Added,,
"#44968=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hinx',#18,'GridCube:Small Unit:1664414',$,'GridCube:Small Unit',#44967,#44964,'1664414',$)",Added,,
"#46343=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hi$C',#18,'GridCube:Small Unit:1664553',$,'GridCube:Small Unit',#46342,#46339,'1664553',$)",Added,,
"#67914=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiRS',#18,'GridCube:Small Unit:1666873',$,'GridCube:Small Unit',#67913,#67910,'1666873',$)",Added,,
"#21890=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HlNT',#18,'GridCube:Small Unit:1662008',$,'GridCube:Small Unit',#21889,#21886,'1662008',$)",Added,,
"#62029=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiLU',#18,'GridCube:Small Unit:1666235',$,'GridCube:Small Unit',#62028,#62025,'1666235',$)",Added,,
"#42801=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7Hiqa',#18,'GridCube:Small Unit:1664193',$,'GridCube:Small Unit',#42800,#42797,'1664193',$)",Added,,
"#56199=IfcBuildingElementProxy('1qLzryZ6D2xQvSXbu7HiEe',#18,'GridCube:Small Unit:1665613',$,'GridCube:Small Unit',#56198,#56195,'1665613',$)",Added,,
